date,value
2003-10-31,168949.81138710244
2003-11-30,170386.339726248
2003-12-31,171745.6714590406
2004-01-31,172661.97324828178
2004-02-29,173604.71709662923
2004-03-31,174620.13259062648
2004-04-30,176031.3814986077
2004-05-31,177298.58672686483
2004-06-30,178794.22756433536
2004-07-31,180564.93654747837
2004-08-31,182702.98820456106
2004-09-30,184581.7600906013
2004-10-31,186123.8207672957
2004-11-30,187608.71221895376
2004-12-31,189419.5554653636
2005-01-31,173097.770136489
2005-02-28,172663.68072982543
2005-03-31,165717.98913596725
2005-04-30,164545.86805399146
2005-05-31,168315.44322303034
2005-06-30,173302.47745822038
2005-07-31,173827.51098212958
2005-08-31,176746.2415497382
2005-09-30,179688.06337719585
2005-10-31,182601.9092286108
2005-11-30,185278.15277671712
2005-12-31,187860.5900194415
2006-01-31,190286.9454247668
2006-02-28,192756.46405819716
2006-03-31,194902.0661254905
2006-04-30,197194.33263457674
2006-05-31,199409.60355094084
2006-06-30,201618.62372415175
2006-07-31,203349.79443592712
2006-08-31,204838.4941926391
2006-09-30,206269.9493681881
2006-10-31,207544.5587379081
2006-11-30,208677.62031097116
2006-12-31,209808.3295543202
2007-01-31,211173.93219772523
2007-02-28,212473.4132987371
2007-03-31,213931.51424318517
2007-04-30,215473.06231089073
2007-05-31,216884.59135629633
2007-06-30,218159.50478281674
2007-07-31,219292.11203209104
2007-08-31,220414.31947751055
2007-09-30,221514.6141955065
2007-10-31,222266.28158946382
2007-11-30,222892.31348869216
2007-12-31,218604.03036986841
2008-01-31,218373.3242794716
2008-02-29,218027.04886240204
2008-03-31,217666.3553942876
2008-04-30,216921.27669448857
2008-05-31,216051.7009997824
2008-06-30,214792.64399005676
2008-07-31,213771.86244599524
2008-08-31,212338.48445595126
2008-09-30,210759.05808602954
2008-10-31,205881.81767875815
2008-11-30,204120.51565324896
2008-12-31,202265.5445810764
2009-01-31,199015.0279589702
2009-02-28,198046.18954834616
2009-03-31,196201.92105738065
2009-04-30,194970.08192004843
2009-05-31,193359.12303667722
2009-06-30,191524.25193280098
2009-07-31,189764.66916830768
2009-08-31,188503.68192272604
2009-09-30,187800.61511679334
2009-10-31,187490.86043964126
2009-11-30,187157.65911307273
2009-12-31,187061.60261780545
2010-01-31,186944.8025034024
2010-02-28,186642.21061882956
2010-03-31,186194.72743656466
2010-04-30,186034.22340087
2010-05-31,185905.9118693667
2010-06-30,185803.5699330247
2010-07-31,185191.49853959284
2010-08-31,184503.67266372836
2010-09-30,183506.11929758667
2010-10-31,182638.6446876325
2010-11-30,181829.23683612072
2010-12-31,180807.38597532822
2011-01-31,179673.09240688302
2011-02-28,178711.5076101447
2011-03-31,177798.56968719306
2011-04-30,176879.80311205646
2011-05-31,175889.19711650183
2011-06-30,175325.03767567375
2011-07-31,175025.10944739112
2011-08-31,174628.02448258476
2011-09-30,173982.1786131237
2011-10-31,173470.23817196503
2011-11-30,173032.118952128
2011-12-31,172999.68638351976
2012-01-31,171207.88159398345
2012-02-29,172423.11661371804
2012-03-31,172826.93652722787
2012-04-30,172606.5999944853
2012-05-31,173254.19483765686
2012-06-30,173722.627671736
2012-07-31,174165.06426264744
2012-08-31,174378.1399010836
2012-09-30,174777.7967752693
2012-10-31,175256.37475152095
2012-11-30,175955.53615063522
2012-12-31,176688.9751321465
2013-01-31,177936.934799024
2013-02-28,178963.06444356777
2013-03-31,180150.83925963708
2013-04-30,181594.7913641105
2013-05-31,183071.74789569157
2013-06-30,184485.3737367568
2013-07-31,185653.530722561
2013-08-31,186601.16719860834
2013-09-30,187388.34943780216
2013-10-31,188206.72921867805
2013-11-30,188852.32961796742
2013-12-31,189408.89299805166
2014-01-31,190036.5580216975
2014-02-28,190778.0394024771
2014-03-31,191853.11604522174
2014-04-30,192996.38718967233
2014-05-31,194429.22978660534
2014-06-30,195658.9988547826
2014-07-31,196779.39892250494
2014-08-31,197403.91376861656
2014-09-30,199488.32320742556
2014-10-31,200194.4203644151
2014-11-30,201214.82691150217
2014-12-31,202202.20639910712
2015-01-31,203091.80908361293
2015-02-28,204129.66751222167
2015-03-31,205279.69454660502
2015-04-30,206836.20361680113
2015-05-31,208535.32085583697
